id_registry;registry;project developer;project name;project type;saleable credits registered;credits retired (all time);total buffer pool credits;estimated annual emission reductions;project description;protocol/methodology version;state;project status;document size (pages);gold standard ggc;vcs;ccb-silver;ccb-gold;ccb-biodiversity gold;ccb-community gold;ccb-climate gold;ccb-no distinction;ccb;ccb_development;fsc certification;fsc_development;social carbon;cdm;corsia;sdg;michael_greene_association;area in hectares (ha);afolu;redd type;public_or_indigenous_land;vcs project validator;project_start_crediting;project_end_crediting;crediting period term;certification date;legal issues;legal issues - more information;ccb project status;ccb project type;ccb project validator;ccb standard edition;proponent information;auditor site visit to and from date;number of verification (ccb);first verification;second verification;third verification;fourth verification;fifth verification;sixth  verification;seventh verification
ACR105;American Carbon Registry;F.I.T Timber Ltd;Boa Vista A/R;Forestry, non REDD+;3674586;655;NA;NA;Forest Carbon;Version 5.2.0;RR;Cancelled;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;23057;ARR;NA;0;NA;06/14/1999;NA;06/14/1999 -;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ACR165;American Carbon Registry;Malhas Menegotti Industria Textil Ltda.;Malhas Menegotti Industria Textil Fuel Switch;Transportation;253991;231891;NA;NA;Fuel Switching;Version 19.0;SC;Completed;41;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;NA;0;NA;NA;NA;0;NA;01/09/2006;NA;09/01/2006 -;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;Det Norske Veritas Climate Change Services AS (DNV);Det Norske Veritas Climate Change Services AS (DNV);Det Norske Veritas Climate Change Services AS (DNV);NA;NA;NA;NA
ACR177;American Carbon Registry;Statkraft Energias Renovaveis S.A.;Monjolinho Energetica S/A Hydropower Plant Project (Alzir dos Santos Antunes);Energy Production or Conservation;673609;41066;NA;NA;Renewable Energy;Version 15.0;RS;Completed;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;NA;NA;0;NA;03/09/2009;NA;09/03/2009 -;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;Det Norske Veritas Climate Change Services AS (DNV);NA;NA;NA;NA;NA;NA
ACR191;American Carbon Registry;MS RENOVAVEIS PARTICIPACOES SOCIETARIAS S.A.;MS Renovaveis Wind Power Complex: Mar e Terra, Areia Branca, Embuaca and Icarai;Energy Production or Conservation;587064;NA;NA;NA;Renewable Energy;Version 15.0;RN/CE;Completed;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;NA;NA;0;NA;06/29/2013;NA;06/29/2013 -;NA;NA;NA;NA;NA;NA;NA;https://www.aesbrasil.com.br/pt-br;NA;2;Ruby Canyon Environment;Ruby Canyon Environment;NA;NA;NA;NA;NA
ACR215;American Carbon Registry;Sustainable Carbon - Projetos Ambientais Ltda.;Açu Renewable Energy Project;Energy Production or Conservation;0;0;NA;NA;Renewable Energy;AMS-I.E.;RN;Cancelled;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6, 7, 13, 15;0;NA;NA;NA;0;NA;01/01/2013;12/31/2019;01/01/2013 - 12/31/2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ACR216;American Carbon Registry;Sustainable Carbon - Projetos Ambientais Ltda.;Renewable Energy Project in the State of Ceará;Energy Production or Conservation;0;0;NA;NA;Renewable Energy;AMS-I.E;CE;Cancelled;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6, 7, 13, 15;0;NA;NA;NA;0;NA;01/01/2013;12/31/2019;01/01/2013 - 12/31/2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ACR217;American Carbon Registry;Sustainable Carbon - Projetos Ambientais Ltda.;São Luís Renewable Energy Project;Energy Production or Conservation;0;0;NA;NA;Renewable Energy;AMS-I.E;MA;Cancelled;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6, 7, 13, 15;0;NA;NA;NA;0;NA;01/01/2014;12/31/2020;01/01/2014 - 12/31/2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ACR218;American Carbon Registry;Sustainable Carbon - Projetos Ambientais Ltda.;Seridó Renewable Energy Project;Energy Production or Conservation;0;0;NA;NA;Renewable Energy;AMS-I.E;PB/RN;Cancelled;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6, 7, 13, 15;0;NA;NA;NA;0;NA;01/01/2015;12/31/2021;01/01/2015 - 12/31/2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ACR219;American Carbon Registry;Sustainable Carbon - Projetos Ambientais Ltda.;Low Carbon Agriculture: Composting Project in Brazil;Livestock Waste Management;0;0;NA;NA;Livestock, enteric fermentation, and manure management;ACM0010;PR/SC/RS;Cancelled;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2, 9, 13;0;NA;NA;NA;0;NA;01/01/2014;12/31/2020;01/01/2014 - 12/31/2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ACR220;American Carbon Registry;Sustainable Carbon - Projetos Ambientais Ltda.;Araripina Renewable Energy Project;Energy Production or Conservation;0;0;NA;NA;Renewable Energy;AMS-I.E.;PE;Cancelled;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6, 7, 13, 15;0;NA;NA;NA;0;NA;01/01/2015;12/31/2021;01/01/2015 - 12/31/2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
