"year","ID","issued_credits","vintage_credits","retired_credits"
2006,"10",NA,119943,NA
2007,"10",NA,318968,NA
2008,"10",NA,440886,NA
2009,"10",879797,210076,NA
2010,"10",NA,902136,595
2011,"10",NA,432435,16398
2012,"10",1112212,473751,104439
2013,"10",NA,1025775,28052
2014,"10",NA,1487731,34799
2015,"10",NA,1116559,49470
2016,"10",NA,NA,1619
2017,"10",NA,NA,1188
2018,"10",NA,NA,323069
2019,"10",NA,NA,246009
2020,"10",NA,NA,362994
2021,"10",4536251,NA,1236799
2022,"10",NA,NA,1180745
2023,"10",NA,NA,622808
2006,"103",NA,18311,NA
2007,"103",NA,5375,NA
2009,"103",23686,NA,NA
2012,"103",NA,15027,NA
2013,"103",NA,29999,NA
2014,"103",NA,29838,NA
2015,"103",NA,28821,19576
2016,"103",NA,7365,NA
2022,"103",111050,NA,NA
2023,"103",NA,NA,107795
2010,"1070",NA,36164,NA
2011,"1070",NA,26281,NA
2012,"1070",NA,4572,NA
2014,"1070",67017,NA,NA
2016,"1070",NA,NA,1776
2017,"1070",NA,NA,7237
2018,"1070",NA,NA,3849
2019,"1070",NA,NA,5706
2020,"1070",NA,NA,5120
2021,"1070",NA,NA,29982
2022,"1070",NA,NA,4589
2009,"1076",NA,251635,NA
2011,"1076",NA,60276,NA
2013,"1076",251635,NA,NA
2014,"1076",NA,NA,234260
2015,"1076",60276,NA,4360
2016,"1076",NA,NA,61046
2018,"1076",NA,NA,6667
2019,"1076",NA,NA,5578
2003,"1094",NA,442256,NA
2004,"1094",NA,90539,NA
2005,"1094",NA,97725,NA
2006,"1094",NA,154964,NA
2007,"1094",NA,198289,NA
2008,"1094",NA,11866,NA
2009,"1094",NA,151888,NA
2010,"1094",NA,156230,NA
2011,"1094",NA,259271,NA
2012,"1094",NA,333324,NA
2013,"1094",NA,17975,NA
2014,"1094",NA,41867,NA
2015,"1094",20845,61061,10059
2016,"1094",238868,31017,161668
2017,"1094",60645,23019,72862
2018,"1094",50140,NA,70866
2019,"1094",237880,NA,193562
2020,"1094",810638,NA,104709
2021,"1094",64197,NA,472075
2022,"1094",588078,NA,208863
2023,"1094",NA,NA,129583
2011,"1112",NA,140450,NA
2014,"1112",NA,162177,NA
2015,"1112",53088,179634,53088
2016,"1112",3164,184219,NA
2017,"1112",20000,174227,23164
2019,"1112",92840,NA,33642
2020,"1112",54790,NA,113759
2021,"1112",410592,NA,82947
2022,"1112",206233,NA,98584
2023,"1112",NA,NA,102746
2012,"1113",NA,37540,NA
2013,"1113",NA,269234,NA
2014,"1113",NA,180586,NA
2015,"1113",64644,220892,60886
2016,"1113",527,189476,1149
2017,"1113",32357,181536,33217
2018,"1113",4631,NA,4583
2019,"1113",67835,NA,30710
2020,"1113",54313,NA,93545
2021,"1113",478973,NA,153158
2022,"1113",375984,NA,305426
2023,"1113",NA,NA,14483
2011,"1115",NA,202003,NA
2012,"1115",NA,170778,NA
2013,"1115",2020,163779,22
2014,"1115",16000,197650,16169
2015,"1115",183983,277676,185659
2016,"1115",NA,284595,NA
2017,"1115",73769,282018,8606
2018,"1115",167890,272314,143023
2019,"1115",92898,246388,99383
2020,"1115",NA,NA,54374
2021,"1115",379633,NA,233069
2022,"1115",1090958,NA,233994
2023,"1115",90050,NA,319759
2009,"1118",NA,251529,NA
2013,"1118",120000,NA,120000
2014,"1118",130000,NA,130000
2015,"1118",1529,NA,954
2016,"1118",NA,NA,575
2012,"1142",NA,936,NA
2013,"1142",NA,12638,NA
2014,"1142",2195,NA,NA
2015,"1142",NA,5208,1400
2016,"1142",11379,8924,2846
2017,"1142",5208,3983,1112
2018,"1142",8924,9618,2039
2019,"1142",7155,2122,4914
2020,"1142",6446,NA,5396
2021,"1142",2122,NA,1743
2011,"1144",NA,3635,NA
2012,"1144",NA,8839,NA
2013,"1144",NA,9143,NA
2014,"1144",12474,11412,12474
2015,"1144",28564,11207,28564
2016,"1144",NA,7306,NA
2017,"1144",NA,15044,NA
2018,"1144",NA,3449,NA
