id_registry,year,treatment,treatment_registered,treatment_anticipation,treatment_832,treatment_875,treatment_963,treatment_977,treatment_981,treatment_1094,treatment_1112,treatment_1113,treatment_1115,treatment_1118,treatment_1147,treatment_1329,treatment_1382,treatment_1503,treatment_1571,treatment_1654,treatment_1686,treatment_1811,treatment_1953,treatment_2252,treatment_2373,treatment_2508,treatment_2551,treatment_2558,treatment_2566,Total_natural_formation,Forest_pctg,Non_Forest_Natural_pctg,Farming_pctg,Non_vegetated_area_pctg,Water_pctg,Not_Observed_pctg,registry,project_developer,project_name,project_type,saleable_credits_registered,credits_retired_all_time,total_buffer_pool_credits,estimated_annual_emission_reductions,project_description,methodology_version,state,project_status,start,end,crediting_period_term,certification_date,area_hectares,afolu,redd_type,public_or_indigenous_land,document_size_pages,gold_standard_ggc,vcs,ccb.silver,ccb.gold,ccb.biodiversity_gold,ccb.community_gold,ccb.climate_gold,ccb.no_distinction,ccb,ccb_development,fsc_certification,fsc_development,social_carbon,cdm,corsia,sdg,michael_greene_association,vcs_project_validator,legal_issues,legal_issues_._more_information,ccb_project_status,ccb_project_type,ccb_project_validator,ccb_standard_edition,proponent_information,auditor_site_visit_to_and_from_date,number_of_verifications_ccb,first_verification,second_verification,third_verification,fourth_verification,fifth_verification,sixth__verification,seventh_verification,treatment_start_year,certification_year,anticipation_year
832,2000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.47644038129607,89.37980960217541,0.09663077912066312,9.992813846542974,0,0.5307457721609423,0,VERRA,CKBV Florestal Ltda,Cikel Brazilian Amazon REDD APD Project Avoiding Planned Deforestation,REDD+,2474650,1169718,753964,370000,Agriculture Forestry and Other Land Use,VM0007,PA,Registered,2007-07-19,2027-07-18,"1st, 19/07/2007 - 18/07/2027",2012-05-25,27434,REDD,APD,0,110,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"1, 8, 10, 12, 13, 15",0,"Rainforest Alliance, Inc. (Rainforest Alliance)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2012,2005
832,2001,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.31347554680634,89.21278066910688,0.10069487769946876,10.168543908284436,0,0.5179805449092171,0,VERRA,CKBV Florestal Ltda,Cikel Brazilian Amazon REDD APD Project Avoiding Planned Deforestation,REDD+,2474650,1169718,753964,370000,Agriculture Forestry and Other Land Use,VM0007,PA,Registered,2007-07-19,2027-07-18,"1st, 19/07/2007 - 18/07/2027",2012-05-25,27434,REDD,APD,0,110,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"1, 8, 10, 12, 13, 15",0,"Rainforest Alliance, Inc. (Rainforest Alliance)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2012,2005
832,2002,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.10906224569128,89.01189068759055,0.09717155810072178,10.363746773010476,0,0.5271909812982373,0,VERRA,CKBV Florestal Ltda,Cikel Brazilian Amazon REDD APD Project Avoiding Planned Deforestation,REDD+,2474650,1169718,753964,370000,Agriculture Forestry and Other Land Use,VM0007,PA,Registered,2007-07-19,2027-07-18,"1st, 19/07/2007 - 18/07/2027",2012-05-25,27434,REDD,APD,0,110,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"1, 8, 10, 12, 13, 15",0,"Rainforest Alliance, Inc. (Rainforest Alliance)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2012,2005
832,2003,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.5008651491129,88.41197602046242,0.08888912865048548,10.97475888660862,0,0.5243759642784728,0,VERRA,CKBV Florestal Ltda,Cikel Brazilian Amazon REDD APD Project Avoiding Planned Deforestation,REDD+,2474650,1169718,753964,370000,Agriculture Forestry and Other Land Use,VM0007,PA,Registered,2007-07-19,2027-07-18,"1st, 19/07/2007 - 18/07/2027",2012-05-25,27434,REDD,APD,0,110,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"1, 8, 10, 12, 13, 15",0,"Rainforest Alliance, Inc. (Rainforest Alliance)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2012,2005
832,2004,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.47123806430749,87.37768934842104,0.09354871588644412,11.996758107754896,0,0.5320038279376248,0,VERRA,CKBV Florestal Ltda,Cikel Brazilian Amazon REDD APD Project Avoiding Planned Deforestation,REDD+,2474650,1169718,753964,370000,Agriculture Forestry and Other Land Use,VM0007,PA,Registered,2007-07-19,2027-07-18,"1st, 19/07/2007 - 18/07/2027",2012-05-25,27434,REDD,APD,0,110,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"1, 8, 10, 12, 13, 15",0,"Rainforest Alliance, Inc. (Rainforest Alliance)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2012,2005
832,2005,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.14997961295319,86.05022395913664,0.0997556538165483,13.33136175306687,0,0.5186586339799428,0,VERRA,CKBV Florestal Ltda,Cikel Brazilian Amazon REDD APD Project Avoiding Planned Deforestation,REDD+,2474650,1169718,753964,370000,Agriculture Forestry and Other Land Use,VM0007,PA,Registered,2007-07-19,2027-07-18,"1st, 19/07/2007 - 18/07/2027",2012-05-25,27434,REDD,APD,0,110,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"1, 8, 10, 12, 13, 15",0,"Rainforest Alliance, Inc. (Rainforest Alliance)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2012,2005
832,2006,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.74487519925661,85.6447812724662,0.10009392679041172,13.73613415965692,0,0.518990641086453,0,VERRA,CKBV Florestal Ltda,Cikel Brazilian Amazon REDD APD Project Avoiding Planned Deforestation,REDD+,2474650,1169718,753964,370000,Agriculture Forestry and Other Land Use,VM0007,PA,Registered,2007-07-19,2027-07-18,"1st, 19/07/2007 - 18/07/2027",2012-05-25,27434,REDD,APD,0,110,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"1, 8, 10, 12, 13, 15",0,"Rainforest Alliance, Inc. (Rainforest Alliance)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2012,2005
832,2007,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.43381881934928,85.34170350411682,0.0921153152324561,14.03180864211627,0,0.5343725385344589,0,VERRA,CKBV Florestal Ltda,Cikel Brazilian Amazon REDD APD Project Avoiding Planned Deforestation,REDD+,2474650,1169718,753964,370000,Agriculture Forestry and Other Land Use,VM0007,PA,Registered,2007-07-19,2027-07-18,"1st, 19/07/2007 - 18/07/2027",2012-05-25,27434,REDD,APD,0,110,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"1, 8, 10, 12, 13, 15",0,"Rainforest Alliance, Inc. (Rainforest Alliance)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2012,2005
832,2008,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.22296898554738,85.13154181596066,0.09142716958672711,14.230168909411548,0,0.5468367918815761,2.5313159494208544e-5,VERRA,CKBV Florestal Ltda,Cikel Brazilian Amazon REDD APD Project Avoiding Planned Deforestation,REDD+,2474650,1169718,753964,370000,Agriculture Forestry and Other Land Use,VM0007,PA,Registered,2007-07-19,2027-07-18,"1st, 19/07/2007 - 18/07/2027",2012-05-25,27434,REDD,APD,0,110,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"1, 8, 10, 12, 13, 15",0,"Rainforest Alliance, Inc. (Rainforest Alliance)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2012,2005
832,2009,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.02008255273893,84.925594192913593,0.09448835982533813,14.42822669446844,0,0.5516654396331295,2.5313159494208544e-5,VERRA,CKBV Florestal Ltda,Cikel Brazilian Amazon REDD APD Project Avoiding Planned Deforestation,REDD+,2474650,1169718,753964,370000,Agriculture Forestry and Other Land Use,VM0007,PA,Registered,2007-07-19,2027-07-18,"1st, 19/07/2007 - 18/07/2027",2012-05-25,27434,REDD,APD,0,110,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"1, 8, 10, 12, 13, 15",0,"Rainforest Alliance, Inc. (Rainforest Alliance)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2012,2005
