id_registry,year,Forest Formation,Floodable Forest (beta),Wetland,Grassland,Pasture,"River, Lake and Ocean",Savanna Formation,Forest Plantation,Urban Area,Mining,Not_Observed,Rocky Outcrop,Other Temporary Crops,Palm Oil (beta),Soybean,Mosaic of Uses,Other non Vegetated Areas,Coffee,Other Perennial Crops,Mangrove,"Beach, Dune and Sand Spot",Hypersaline Tidal Flat,Sugar cane,Cotton (beta)
832,2000,3530668.210490746,0,1978.21798989074,1839.1948124412447,390720.4618496991,20967.187927780127,294,0,0,0,0,0,3111.9717871453613,0,935.1120276646687,0,0,0,0,0,0,0,0,0
832,2001,3524055.708509721,0,1065,2912.965600165675,389355.51945228653,20462.895792511677,308,0,0,0,0,0,11108.018643539865,0,1246.2488871426322,0,0,0,0,0,0,0,0,0
832,2002,3516126.520948374,1,760.9237338081002,3077.8526197701194,396338.0366483403,20826.75540439171,300,0,0,0,0,0,10193.789323874284,0,2889.478206808213,0,0,0,0,0,0,0,0,0
832,2003,3492493.805894416,1,980.1579117346556,2531.4198773130774,420334.4582167295,20715.54775287715,233,0,0,0,0,0,10342.489025488496,0,2882.478206808213,0,0,0,0,0,0,0,0,0
832,2004,3451634.16242407,0,1203.2355744628003,2492.4198773130774,463344.31571656227,21016.887601855597,234,0,0,0,0,0,9233.416776782367,0,1355.91891432181,0,0,0,0,0,0,0,0,0
832,2005,3399203.451637705,0,1321.000837450265,2619.8605883773416,517409.9583210609,20489.683798603168,223,0,0,0,0,0,7602.508311809273,0,1644.8933903612196,0,0,0,0,0,0,0,0,0
832,2006,3383289.380091848,0,1680.7213610596957,2273.5035871658474,531723.7100822077,20502.799787011732,120,0,0,0,0,0,7080.894594077719,0,3843.347381996457,0,0,0,0,0,0,0,0,0
832,2007,3371409.249340677,0,1160.3916323184967,2478.637120829895,541122.5767509021,21110.463854056587,27,0,0,0,0,0,9604.892223217175,0,3601.1459633656777,0,0,0,0,0,0,0,0,0
832,2008,3363112.7816773956,0,1074.96253490448,2536.880925713107,549485.1195253495,21602.865972013016,21,0,0,0,1,0,10229.746249991586,0,2450,0,0,0,0,0,0,0,0,0
832,2009,3354972.791261257,0,1714.2856941649225,2018.4905263205656,559231.3931483412,21793.62239468156,25,0,0,0,1,0,9605.773860601475,0,1152,0,0,0,0,0,0,0,0,0
832,2010,3350848.6195489457,0,937.7596672400832,2261.305707246065,559642.9985968185,21716.610881008943,22,0,0,0,1,0,14825.90966338641,0,258.15282072126865,0,0,0,0,0,0,0,0,0
832,2011,3355827.57569676,0,1159.012842208147,2193.305707246065,553233.0997887658,21367.300366279473,47,0,0,0,0,0,15197.364211766517,0,1489.6982723411638,0,0,0,0,0,0,0,0,0
832,2012,3359510.6868857085,0,867.2284487187862,2139.6363295316696,536392.8281480146,21152.446006194492,126,0,0,0,0,0,25727.826760412776,0,4597.704306786181,0,0,0,0,0,0,0,0,0
832,2013,3359957.27916837,0,725.4575293958187,2473.030911769485,530531.3262484085,20771.883832067982,139,0,0,0,0,0,30165.400246265945,0,5750.978949088603,0,0,0,0,0,0,0,0,0
832,2014,3362404.729822136,0,638.6147480010986,2624.204011667287,523936.80368715327,20973.58410860299,164,0,0,0,0,0,32692.40135178992,0,7080.019156016409,0,0,0,0,0,0,0,0,0
832,2015,3361417.2912092516,0,656.7314862757921,2481.8275132421404,507788.9012648716,20393.830156245072,148,0,0,0,0,0,47735.09410860848,0,9892.68114687223,0,0,0,0,0,0,0,0,0
832,2016,3363856.369310968,0,893.1890156716108,2757.798161126673,495608.6104933795,19953.876558163007,83,0,0,0,1,0,46696.4252699215,0,20664.088076136773,0,0,0,0,0,0,0,0,0
832,2017,3363645.6327164294,0,1008.197820469737,2984.022851653397,491859.1894788054,20107.978293915083,88,0,0,0,1,0,48604.389977228086,0,22215.945746865826,0,0,0,0,0,0,0,0,0
