id_registry,registry,project_developer,project_name,project_type,saleable_credits_registered,credits_retired_all_time,total_buffer_pool_credits,estimated_annual_emission_reductions,project_description,methodology_version,state,project_status,start,end,crediting_period_term,certification_date,area_hectares,afolu,redd_type,public_or_indigenous_land,document_size_pages,gold_standard_ggc,vcs,ccb-silver,ccb-gold,ccb-biodiversity_gold,ccb-community_gold,ccb-climate_gold,ccb-no_distinction,ccb,ccb_development,fsc_certification,fsc_development,social_carbon,cdm,corsia,sdg,michael_greene_association,vcs_project_validator,legal_issues,legal_issues_-_more_information,ccb_project_status,ccb_project_type,ccb_project_validator,ccb_standard_edition,proponent_information,auditor_site_visit_to_and_from_date,number_of_verifications_ccb,first_verification,second_verification,third_verification,fourth_verification,fifth_verification,sixth__verification,seventh_verification
ACR105,American Carbon Registry,F.I.T Timber Ltd,Boa Vista A/R,"Forestry, non REDD+",3674586,655,NA,NA,Forest Carbon,Version 5.2.0,RR,Cancelled,1999-06-14,NA,06/14/1999 -,NA,23057,ARR,NA,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR165,American Carbon Registry,Malhas Menegotti Industria Textil Ltda.,Malhas Menegotti Industria Textil Fuel Switch,Transportation,253991,231891,NA,NA,Fuel Switching,Version 19.0,SC,Completed,2006-01-09,NA,09/01/2006 -,NA,NA,NA,NA,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Det Norske Veritas Climate Change Services AS (DNV),Det Norske Veritas Climate Change Services AS (DNV),Det Norske Veritas Climate Change Services AS (DNV),NA,NA,NA,NA
ACR177,American Carbon Registry,Statkraft Energias Renovaveis S.A.,Monjolinho Energetica S/A Hydropower Plant Project (Alzir dos Santos Antunes),Energy Production or Conservation,673609,41066,NA,NA,Renewable Energy,Version 15.0,RS,Completed,2009-03-09,NA,09/03/2009 -,NA,NA,NA,NA,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Det Norske Veritas Climate Change Services AS (DNV),NA,NA,NA,NA,NA,NA
ACR191,American Carbon Registry,MS RENOVAVEIS PARTICIPACOES SOCIETARIAS S.A.,"MS Renovaveis Wind Power Complex: Mar e Terra, Areia Branca, Embuaca and Icarai",Energy Production or Conservation,587064,NA,NA,NA,Renewable Energy,Version 15.0,RN/CE,Completed,2013-06-29,NA,06/29/2013 -,NA,NA,NA,NA,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,https://www.aesbrasil.com.br/pt-br,NA,2,Ruby Canyon Environment,Ruby Canyon Environment,NA,NA,NA,NA,NA
ACR215,American Carbon Registry,Sustainable Carbon - Projetos Ambientais Ltda.,Açu Renewable Energy Project,Energy Production or Conservation,0,0,NA,NA,Renewable Energy,AMS-I.E.,RN,Cancelled,2013-01-01,2019-12-31,01/01/2013 - 12/31/2019,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6, 7, 13, 15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR216,American Carbon Registry,Sustainable Carbon - Projetos Ambientais Ltda.,Renewable Energy Project in the State of Ceará,Energy Production or Conservation,0,0,NA,NA,Renewable Energy,AMS-I.E,CE,Cancelled,2013-01-01,2019-12-31,01/01/2013 - 12/31/2019,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6, 7, 13, 15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR217,American Carbon Registry,Sustainable Carbon - Projetos Ambientais Ltda.,São Luís Renewable Energy Project,Energy Production or Conservation,0,0,NA,NA,Renewable Energy,AMS-I.E,MA,Cancelled,2014-01-01,2020-12-31,01/01/2014 - 12/31/2020,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6, 7, 13, 15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR218,American Carbon Registry,Sustainable Carbon - Projetos Ambientais Ltda.,Seridó Renewable Energy Project,Energy Production or Conservation,0,0,NA,NA,Renewable Energy,AMS-I.E,PB/RN,Cancelled,2015-01-01,2021-12-31,01/01/2015 - 12/31/2021,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6, 7, 13, 15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR219,American Carbon Registry,Sustainable Carbon - Projetos Ambientais Ltda.,Low Carbon Agriculture: Composting Project in Brazil,Livestock Waste Management,0,0,NA,NA,"Livestock, enteric fermentation, and manure management",ACM0010,PR/SC/RS,Cancelled,2014-01-01,2020-12-31,01/01/2014 - 12/31/2020,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2, 9, 13",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR220,American Carbon Registry,Sustainable Carbon - Projetos Ambientais Ltda.,Araripina Renewable Energy Project,Energy Production or Conservation,0,0,NA,NA,Renewable Energy,AMS-I.E.,PE,Cancelled,2015-01-01,2021-12-31,01/01/2015 - 12/31/2021,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6, 7, 13, 15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
